# ut, nt, rtc_temp, A0, voltage
1455066770,2016-02-10 01:12:50,20.75,342,515
1455066778,2016-02-10 01:12:58,20.75,360,515
1455066786,2016-02-10 01:13:06,20.75,453,516
1455066794,2016-02-10 01:13:14,20.75,344,516
1455066802,2016-02-10 01:13:22,20.75,354,516
1455066810,2016-02-10 01:13:30,20.75,351,516
1455066818,2016-02-10 01:13:38,20.75,370,516
1455066826,2016-02-10 01:13:46,20.75,366,515
1455066834,2016-02-10 01:13:54,20.75,355,515
1455066843,2016-02-10 01:14:03,20.75,355,515
1455066851,2016-02-10 01:14:11,20.75,368,514
1455066859,2016-02-10 01:14:19,20.75,354,515
1455066867,2016-02-10 01:14:27,20.75,367,516
1455066875,2016-02-10 01:14:35,20.75,348,515
1455066883,2016-02-10 01:14:43,20.75,357,516
1455066891,2016-02-10 01:14:51,20.75,348,515
1455066899,2016-02-10 01:14:59,20.75,370,515
1455066907,2016-02-10 01:15:07,20.75,365,516
1455066915,2016-02-10 01:15:15,20.75,345,515
1455066923,2016-02-10 01:15:23,20.75,347,515
1455066931,2016-02-10 01:15:31,20.75,358,515
1455066939,2016-02-10 01:15:39,20.75,321,514
1455066947,2016-02-10 01:15:47,20.75,345,515
1455066956,2016-02-10 01:15:56,20.75,340,515
1455066964,2016-02-10 01:16:04,20.75,351,516
1455066972,2016-02-10 01:16:12,20.75,362,516
1455066980,2016-02-10 01:16:20,20.75,372,516
1455066988,2016-02-10 01:16:28,20.75,340,516
1455066996,2016-02-10 01:16:36,21.00,339,516
1455067004,2016-02-10 01:16:44,21.00,362,516
1455067012,2016-02-10 01:16:52,21.00,357,515
1455067020,2016-02-10 01:17:00,21.00,352,515
1455067028,2016-02-10 01:17:08,21.00,333,515
1455067036,2016-02-10 01:17:16,21.00,361,516
1455067044,2016-02-10 01:17:24,21.00,344,515
1455067052,2016-02-10 01:17:32,21.00,333,515
1455067061,2016-02-10 01:17:41,21.00,364,516
1455067069,2016-02-10 01:17:49,21.00,359,516
1455067077,2016-02-10 01:17:57,21.00,358,515
1455067085,2016-02-10 01:18:05,21.00,337,516
1455067093,2016-02-10 01:18:13,21.00,357,516
1455067101,2016-02-10 01:18:21,21.00,353,515
1455067109,2016-02-10 01:18:29,21.00,341,515
1455067117,2016-02-10 01:18:37,21.00,260,515
1455067125,2016-02-10 01:18:45,21.00,292,515
1455067133,2016-02-10 01:18:53,21.00,317,517
1455067141,2016-02-10 01:19:01,21.00,317,515
1455067149,2016-02-10 01:19:09,21.00,319,515
1455067157,2016-02-10 01:19:17,21.00,349,515
1455067165,2016-02-10 01:19:25,21.00,348,516
1455067174,2016-02-10 01:19:34,21.00,333,515
1455067182,2016-02-10 01:19:42,21.00,329,516
1455067190,2016-02-10 01:19:50,21.00,348,515
1455067198,2016-02-10 01:19:58,21.00,347,515
1455067206,2016-02-10 01:20:06,21.00,338,516
1455067214,2016-02-10 01:20:14,21.00,343,516
1455067222,2016-02-10 01:20:22,21.00,330,515
1455067230,2016-02-10 01:20:30,21.00,348,516
1455067238,2016-02-10 01:20:38,21.00,359,515
1455067246,2016-02-10 01:20:46,21.25,353,515
1455067254,2016-02-10 01:20:54,21.25,330,515
1455067262,2016-02-10 01:21:02,21.25,354,515
1455067270,2016-02-10 01:21:10,21.25,336,515
1455067278,2016-02-10 01:21:18,21.25,548,515
1455067287,2016-02-10 01:21:27,21.25,344,516
1455067295,2016-02-10 01:21:35,21.25,347,515
1455067303,2016-02-10 01:21:43,21.25,341,516
1455067311,2016-02-10 01:21:51,21.00,360,515
1455067319,2016-02-10 01:21:59,21.00,361,516
1455067327,2016-02-10 01:22:07,21.00,348,516
1455067335,2016-02-10 01:22:15,21.00,352,516
1455067343,2016-02-10 01:22:23,21.00,367,515
1455067351,2016-02-10 01:22:31,21.00,359,516
1455067359,2016-02-10 01:22:39,21.00,344,515
1455067367,2016-02-10 01:22:47,21.00,365,516
1455067375,2016-02-10 01:22:55,21.00,360,515
1455067383,2016-02-10 01:23:03,21.00,346,516
1455067391,2016-02-10 01:23:11,21.00,364,515
1455067400,2016-02-10 01:23:20,21.00,349,515
1455067408,2016-02-10 01:23:28,21.00,365,515
